"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C8,C9,C10,C11","5","100nf","","","","Capacitor_SMD:C_0805_2012Metric",""
"C2,C3","2","22pF","","","","Capacitor_SMD:C_0805_2012Metric",""
"C4","1","470uf 35v","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C5","1","105","","","","Capacitor_SMD:C_0805_2012Metric",""
"C6","1","180uf 35v","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C7","1","220uF/35V","","","","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"D1,D10,D11,D12,D13,D14,D15,D16,D17","9","SS34","","","","Diode_SMD:D_SMA","https://www.vishay.com/docs/88751/ss32.pdf"
"D2","1","LED","","","","LED_SMD:LED_0805_2012Metric",""
"HC-SR04","1","Conn_01x04_Socket","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",""
"J1","1","BAT 12V","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J2","1","motor 1","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J3","1","motor 2","","","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"L1","1","68uh/2A","","","","Inductor_SMD:L_Wuerth_WE-PD-Typ-M-Typ-S",""
"R1","1","10k","","","","Resistor_SMD:R_0805_2012Metric",""
"R2","1","1k","","","","Resistor_SMD:R_0805_2012Metric",""
"SW1","1","start","","","","Button_Switch_THT:SW_DIP_SPSTx01_Slide_9.78x4.72mm_W7.62mm_P2.54mm",""
"SW2","1","reset","","","","Button_Switch_THT:SW_PUSH_6mm",""
"U1","1","L298N","","","","Package_TO_SOT_THT:TO-220-15_P2.54x5.08mm_StaggerOdd_Lead4.58mm_Vertical","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000240.pdf"
"U2","1","ATmega328P-P","","","","Package_DIP:DIP-28_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U3","1","XL1509-5.0","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheet.lcsc.com/lcsc/1809050422_XLSEMI-XL1509-5-0E1_C61063.pdf"
"Y1","1","Crystal","","","","Crystal:Crystal_HC49-U_Vertical",""
